state,n_orders,avg_delivery_days,avg_days_early_vs_estimate,pct_late,avg_review_score
RR,41,29.387546014001806,16.594597730352305,12.195121951219512,3.902439024390244
AP,67,27.185067716970703,19.05942267827529,4.477611940298507,4.223880597014926
AM,145,26.42599090038314,18.85181696998723,4.137931034482759,4.23448275862069
AL,397,24.543855361974067,8.032058873262432,23.929471032745592,3.8261964735516374
PA,946,23.77291691136168,13.386288478290659,12.367864693446089,3.890063424947146
MA,717,21.572976474120562,8.88784447802056,19.665271966527197,3.813110181311018
SE,335,21.519788280818133,9.328641480099503,15.223880597014924,3.8985074626865672
CE,1279,21.26657863492891,10.1100067507891,15.32447224394058,3.9374511336982017
AC,80,21.035712962962965,20.077006944444445,3.75,4.0875
PB,517,20.426767609606706,12.599502337201805,11.02514506769826,4.061895551257253
PI,476,19.45709826291628,10.629538179855276,15.966386554621847,3.9789915966386555
RO,243,19.37203651310776,19.396826417466848,2.880658436213992,4.1687242798353905
BA,3256,19.335465824489262,10.099072598877285,14.035626535626536,3.9106265356265357
RN,474,19.27815620604782,12.962349073097359,10.759493670886076,4.1308016877637135
PE,1593,18.448322994408407,12.60791818517356,10.797237915881984,4.069052102950408
MT,886,18.05575601172561,13.685549742391942,6.772009029345373,4.12979683972912
TO,274,17.65806260982698,11.439737724722898,12.773722627737227,4.156934306569343
ES,1995,15.789307110368513,9.797108894922491,12.230576441102757,4.047117794486216
MS,701,15.618319018465684,10.355557916600624,11.554921540656206,4.158345221112696
GO,1957,15.606338535456764,11.483576536743692,8.175779253960142,4.090955544200306
RJ,12350,15.30943754217274,11.054734766269306,13.473684210526315,3.9470445344129557
RS,5344,15.300276192406853,13.208488747331726,7.1482035928143715,4.1794535928143715
SC,3546,14.954782876767771,10.801736195974598,9.75747320924986,4.117033276931754
DF,2080,12.96756810897436,11.339524695067663,7.0673076923076925,4.125
MG,11354,12.008665646060452,12.539233555518042,5.61035758323058,4.17940813810111
PR,4923,11.991582227413277,12.61967811472604,4.996953077391835,4.228722323786309
SP,40494,8.761385996084925,10.380349671144696,5.894700449449301,4.23403467180323
